worker_id,sentence_id,aspect,source,other_dataset,asset_simplification,other_simplification,winner
A2TBXASXZIRNNW,294,fluency,"Heavy rain fell across portions of Britain on October 5, causing localized accumulation of flood waters.",turkcorpus,It flooded in Britain on October 5th because of rain.,"Heavy rain fell across portions of Britain on October 5, causing contain accumulation of flood waters.",asset
A2TBXASXZIRNNW,294,meaning,"Heavy rain fell across portions of Britain on October 5, causing localized accumulation of flood waters.",turkcorpus,It flooded in Britain on October 5th because of rain.,"Heavy rain fell across portions of Britain on October 5, causing contain accumulation of flood waters.",turkcorpus
A2TBXASXZIRNNW,294,simplicity,"Heavy rain fell across portions of Britain on October 5, causing localized accumulation of flood waters.",turkcorpus,It flooded in Britain on October 5th because of rain.,"Heavy rain fell across portions of Britain on October 5, causing contain accumulation of flood waters.",asset
A2TBXASXZIRNNW,75,fluency,"Seventh sons have strong ""Knacks""( specific magical abilities), and Seventh sons of Seventh sons are both extraordinarily rare and powerful.",turkcorpus,"Seventh sons have strong ""Knacks""( specific magical abilities). Seventh sons of Seventh sons are both extraordinarily rare and powerful.",Seventh sons are born with strong and specific magical abilities; Seventh sons of a seventh son are extraordinarily powerful and rare.,similar
A2TBXASXZIRNNW,75,meaning,"Seventh sons have strong ""Knacks""( specific magical abilities), and Seventh sons of Seventh sons are both extraordinarily rare and powerful.",turkcorpus,"Seventh sons have strong ""Knacks""( specific magical abilities). Seventh sons of Seventh sons are both extraordinarily rare and powerful.",Seventh sons are born with strong and specific magical abilities; Seventh sons of a seventh son are extraordinarily powerful and rare.,similar
A2TBXASXZIRNNW,75,simplicity,"Seventh sons have strong ""Knacks""( specific magical abilities), and Seventh sons of Seventh sons are both extraordinarily rare and powerful.",turkcorpus,"Seventh sons have strong ""Knacks""( specific magical abilities). Seventh sons of Seventh sons are both extraordinarily rare and powerful.",Seventh sons are born with strong and specific magical abilities; Seventh sons of a seventh son are extraordinarily powerful and rare.,similar
A2TBXASXZIRNNW,164,fluency,"Conversely, bills proposed by the law Commission, and consolidation bills, start in the House of Lords.",turkcorpus,"On the other hand, bills proposed by the law Commission, and consolidation bills, start in the House of Lords.","The law Commission proposes bills, but consolidation bills start in the House of Lords",similar
A2TBXASXZIRNNW,164,meaning,"Conversely, bills proposed by the law Commission, and consolidation bills, start in the House of Lords.",turkcorpus,"On the other hand, bills proposed by the law Commission, and consolidation bills, start in the House of Lords.","The law Commission proposes bills, but consolidation bills start in the House of Lords",similar
A2TBXASXZIRNNW,164,simplicity,"Conversely, bills proposed by the law Commission, and consolidation bills, start in the House of Lords.",turkcorpus,"On the other hand, bills proposed by the law Commission, and consolidation bills, start in the House of Lords.","The law Commission proposes bills, but consolidation bills start in the House of Lords",similar
A2TBXASXZIRNNW,263,fluency,Use Html and CSS MARKUP Sparingly and only with good reason.,turkcorpus,Use Html and CSS only when you need to.,Use Html and CSS only when necessary.,similar
A2TBXASXZIRNNW,263,meaning,Use Html and CSS MARKUP Sparingly and only with good reason.,turkcorpus,Use Html and CSS only when you need to.,Use Html and CSS only when necessary.,turkcorpus
A2TBXASXZIRNNW,263,simplicity,Use Html and CSS MARKUP Sparingly and only with good reason.,turkcorpus,Use Html and CSS only when you need to.,Use Html and CSS only when necessary.,similar
A2TBXASXZIRNNW,134,fluency,"Development stable releases are rare, but there are often subversion snapshots which are stable enough to use.",turkcorpus,"Development stable releases are rare, but there are often subversion snapshots stable enough to use.",Development stable releases are rare but there are subversion snapshots which are stable enough.,similar
A2TBXASXZIRNNW,134,meaning,"Development stable releases are rare, but there are often subversion snapshots which are stable enough to use.",turkcorpus,"Development stable releases are rare, but there are often subversion snapshots stable enough to use.",Development stable releases are rare but there are subversion snapshots which are stable enough.,similar
A2TBXASXZIRNNW,134,simplicity,"Development stable releases are rare, but there are often subversion snapshots which are stable enough to use.",turkcorpus,"Development stable releases are rare, but there are often subversion snapshots stable enough to use.",Development stable releases are rare but there are subversion snapshots which are stable enough.,similar
A1ATL3G98SFW4V,15,fluency,In 1987 Wexler was inducted into the rock and roll hall of fame.,turkcorpus,Wexler was added to the rock and roll hall of fame in 1987.,In 1987 Wexler was inducted into the rock and roll hall of fame.,asset
A1ATL3G98SFW4V,15,meaning,In 1987 Wexler was inducted into the rock and roll hall of fame.,turkcorpus,Wexler was added to the rock and roll hall of fame in 1987.,In 1987 Wexler was inducted into the rock and roll hall of fame.,asset
A1ATL3G98SFW4V,15,simplicity,In 1987 Wexler was inducted into the rock and roll hall of fame.,turkcorpus,Wexler was added to the rock and roll hall of fame in 1987.,In 1987 Wexler was inducted into the rock and roll hall of fame.,asset
A1ATL3G98SFW4V,315,fluency,Some reports read that various factors increase the likelihood of both paralysis and hallucinations.,turkcorpus,Some reports read that some factors increase the possibility of paralysis and hallucinations.,Some reports show that multiple factors increase the likelihood of both paralysis and hallucinations.,turkcorpus
A1ATL3G98SFW4V,315,meaning,Some reports read that various factors increase the likelihood of both paralysis and hallucinations.,turkcorpus,Some reports read that some factors increase the possibility of paralysis and hallucinations.,Some reports show that multiple factors increase the likelihood of both paralysis and hallucinations.,turkcorpus
A1ATL3G98SFW4V,315,simplicity,Some reports read that various factors increase the likelihood of both paralysis and hallucinations.,turkcorpus,Some reports read that some factors increase the possibility of paralysis and hallucinations.,Some reports show that multiple factors increase the likelihood of both paralysis and hallucinations.,turkcorpus
A1ATL3G98SFW4V,142,fluency,Below are some useful links to facilitate your involvement.,turkcorpus,Here are some useful links to help you.,Below are some useful links to make your involvement easier.,asset
A1ATL3G98SFW4V,142,meaning,Below are some useful links to facilitate your involvement.,turkcorpus,Here are some useful links to help you.,Below are some useful links to make your involvement easier.,turkcorpus
A1ATL3G98SFW4V,142,simplicity,Below are some useful links to facilitate your involvement.,turkcorpus,Here are some useful links to help you.,Below are some useful links to make your involvement easier.,asset
A1ATL3G98SFW4V,115,fluency,"Johan was also the original Bassist of the Swedish power metal band Hammerfall, but quit before the band ever released a studio album.",turkcorpus,Johan was the original Bassist of Hammerfall. He quit before the band released an album.,"Johan was also the first form Bassist of the Swedish power metal band Hammerfall, but equal before the band ever given a Work-Room book of pictures",asset
A1ATL3G98SFW4V,115,meaning,"Johan was also the original Bassist of the Swedish power metal band Hammerfall, but quit before the band ever released a studio album.",turkcorpus,Johan was the original Bassist of Hammerfall. He quit before the band released an album.,"Johan was also the first form Bassist of the Swedish power metal band Hammerfall, but equal before the band ever given a Work-Room book of pictures",asset
A1ATL3G98SFW4V,115,simplicity,"Johan was also the original Bassist of the Swedish power metal band Hammerfall, but quit before the band ever released a studio album.",turkcorpus,Johan was the original Bassist of Hammerfall. He quit before the band released an album.,"Johan was also the first form Bassist of the Swedish power metal band Hammerfall, but equal before the band ever given a Work-Room book of pictures",asset
A1ATL3G98SFW4V,328,fluency,"As the largest Sub-Region in Mesoamerica, it encompassed a vast and varied landscape, from the mountainous regions of the Sierra Madre to the Semi-Arid Plains of northern Yucatán.",turkcorpus,"As the largest Sub-Region of Mesoamerica, it ran from the mountainous regions of the Sierra Madre to the Plains of the northern Yucatán.","Asthe largest Sub-Region in Mesoamerica, it Surounds a vast and different landscape, from the mountainous regions of the Sierra Madre to the Semi-Arid Plains of northern Yucatan.",asset
A1ATL3G98SFW4V,328,meaning,"As the largest Sub-Region in Mesoamerica, it encompassed a vast and varied landscape, from the mountainous regions of the Sierra Madre to the Semi-Arid Plains of northern Yucatán.",turkcorpus,"As the largest Sub-Region of Mesoamerica, it ran from the mountainous regions of the Sierra Madre to the Plains of the northern Yucatán.","Asthe largest Sub-Region in Mesoamerica, it Surounds a vast and different landscape, from the mountainous regions of the Sierra Madre to the Semi-Arid Plains of northern Yucatan.",asset
A1ATL3G98SFW4V,328,simplicity,"As the largest Sub-Region in Mesoamerica, it encompassed a vast and varied landscape, from the mountainous regions of the Sierra Madre to the Semi-Arid Plains of northern Yucatán.",turkcorpus,"As the largest Sub-Region of Mesoamerica, it ran from the mountainous regions of the Sierra Madre to the Plains of the northern Yucatán.","Asthe largest Sub-Region in Mesoamerica, it Surounds a vast and different landscape, from the mountainous regions of the Sierra Madre to the Semi-Arid Plains of northern Yucatan.",asset
A1ATL3G98SFW4V,209,fluency,Orchestration Stravinsky first conceived of writing the ballet in 1913.,turkcorpus,Orchestration Stravinsky first thought about writing the ballet in 1913.,Orchestration Stravinsky first conceived of writing the ballet in 1913.,asset
A1ATL3G98SFW4V,209,meaning,Orchestration Stravinsky first conceived of writing the ballet in 1913.,turkcorpus,Orchestration Stravinsky first thought about writing the ballet in 1913.,Orchestration Stravinsky first conceived of writing the ballet in 1913.,asset
A1ATL3G98SFW4V,209,simplicity,Orchestration Stravinsky first conceived of writing the ballet in 1913.,turkcorpus,Orchestration Stravinsky first thought about writing the ballet in 1913.,Orchestration Stravinsky first conceived of writing the ballet in 1913.,asset
A1ATL3G98SFW4V,191,fluency,Gumbasia was created in a style Vorkapich taught called kinesthetic film principles.,turkcorpus,Gumbasia was made in a style Vorkapich taught called kinesthetic film principles.,Gumbasia was Crated in a style Vorkapich taught called kinesthetic film principles.,asset
A1ATL3G98SFW4V,191,meaning,Gumbasia was created in a style Vorkapich taught called kinesthetic film principles.,turkcorpus,Gumbasia was made in a style Vorkapich taught called kinesthetic film principles.,Gumbasia was Crated in a style Vorkapich taught called kinesthetic film principles.,asset
A1ATL3G98SFW4V,191,simplicity,Gumbasia was created in a style Vorkapich taught called kinesthetic film principles.,turkcorpus,Gumbasia was made in a style Vorkapich taught called kinesthetic film principles.,Gumbasia was Crated in a style Vorkapich taught called kinesthetic film principles.,asset
A1ATL3G98SFW4V,168,fluency,Bone marrow is the flexible tissue found in the hollow interior of bones.,turkcorpus,Bone marrow is the flexible tissue found in the hollow inside of bones.,Bone marrow is the flexible tissue found in the hollow interior of bones.,asset
A1ATL3G98SFW4V,168,meaning,Bone marrow is the flexible tissue found in the hollow interior of bones.,turkcorpus,Bone marrow is the flexible tissue found in the hollow inside of bones.,Bone marrow is the flexible tissue found in the hollow interior of bones.,asset
A1ATL3G98SFW4V,168,simplicity,Bone marrow is the flexible tissue found in the hollow interior of bones.,turkcorpus,Bone marrow is the flexible tissue found in the hollow inside of bones.,Bone marrow is the flexible tissue found in the hollow interior of bones.,asset
A1ATL3G98SFW4V,53,fluency,The International fight League was an American mixed martial arts( Mma) promotion billed as the world's first Mma League.,turkcorpus,The International fight League was known as the first American mixed martial arts( Mma) group.,The International fight League was an American mixed martial arts( Mma) advance billed as the world's first Mma League.,asset
A1ATL3G98SFW4V,53,meaning,The International fight League was an American mixed martial arts( Mma) promotion billed as the world's first Mma League.,turkcorpus,The International fight League was known as the first American mixed martial arts( Mma) group.,The International fight League was an American mixed martial arts( Mma) advance billed as the world's first Mma League.,turkcorpus
A1ATL3G98SFW4V,53,simplicity,The International fight League was an American mixed martial arts( Mma) promotion billed as the world's first Mma League.,turkcorpus,The International fight League was known as the first American mixed martial arts( Mma) group.,The International fight League was an American mixed martial arts( Mma) advance billed as the world's first Mma League.,asset
A1ATL3G98SFW4V,146,fluency,Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.,turkcorpus,Chauvin was embarrassed by his award and at first said he may not accept it.,Chauvin was uncomfortable to receive his award Andfinally he decided that he may not accept it.,asset
A1ATL3G98SFW4V,146,meaning,Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.,turkcorpus,Chauvin was embarrassed by his award and at first said he may not accept it.,Chauvin was uncomfortable to receive his award Andfinally he decided that he may not accept it.,asset
A1ATL3G98SFW4V,146,simplicity,Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.,turkcorpus,Chauvin was embarrassed by his award and at first said he may not accept it.,Chauvin was uncomfortable to receive his award Andfinally he decided that he may not accept it.,asset
A2TBXASXZIRNNW,330,fluency,"Anyone may register a pedigree with the college, where they are carefully internally audited and require official Proofs before being altered.",turkcorpus,Pedigrees registered at the college are audited and need proof before being altered.,"Anyone may register a pedigree with the college, where they are internally audited carefully and require official data before making any type of alteration.",asset
A2TBXASXZIRNNW,330,meaning,"Anyone may register a pedigree with the college, where they are carefully internally audited and require official Proofs before being altered.",turkcorpus,Pedigrees registered at the college are audited and need proof before being altered.,"Anyone may register a pedigree with the college, where they are internally audited carefully and require official data before making any type of alteration.",similar
A2TBXASXZIRNNW,330,simplicity,"Anyone may register a pedigree with the college, where they are carefully internally audited and require official Proofs before being altered.",turkcorpus,Pedigrees registered at the college are audited and need proof before being altered.,"Anyone may register a pedigree with the college, where they are internally audited carefully and require official data before making any type of alteration.",asset
A2TBXASXZIRNNW,122,fluency,The form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.,turkcorpus,"Speed chess is played, in which each competitor has a total of twelve minutes for the whole game.",The type of chess played is speed chess in which each Player has a total of twelve minutes for the complete game.,similar
A2TBXASXZIRNNW,122,meaning,The form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.,turkcorpus,"Speed chess is played, in which each competitor has a total of twelve minutes for the whole game.",The type of chess played is speed chess in which each Player has a total of twelve minutes for the complete game.,similar
A2TBXASXZIRNNW,122,simplicity,The form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.,turkcorpus,"Speed chess is played, in which each competitor has a total of twelve minutes for the whole game.",The type of chess played is speed chess in which each Player has a total of twelve minutes for the complete game.,similar
A2TBXASXZIRNNW,55,fluency,"Aside from this, Cameron has often worked in Christian-Themed productions, among them the Post-Rapture films left behind: the movie, left behind II: tribulation force, and left behind: world at war, in which he plays Cameron ""Buck"" Williams.",turkcorpus,"Cameron has often worked in Christian-Themed productions. Among these are left behind: the movie, left behind II: tribulation force, and left behind: world at war.","Cameron has often worked in Christian-Themed productions, in that some of the movie left behind: tribulation force, world at war",turkcorpus
A2TBXASXZIRNNW,55,meaning,"Aside from this, Cameron has often worked in Christian-Themed productions, among them the Post-Rapture films left behind: the movie, left behind II: tribulation force, and left behind: world at war, in which he plays Cameron ""Buck"" Williams.",turkcorpus,"Cameron has often worked in Christian-Themed productions. Among these are left behind: the movie, left behind II: tribulation force, and left behind: world at war.","Cameron has often worked in Christian-Themed productions, in that some of the movie left behind: tribulation force, world at war",similar
A2TBXASXZIRNNW,55,simplicity,"Aside from this, Cameron has often worked in Christian-Themed productions, among them the Post-Rapture films left behind: the movie, left behind II: tribulation force, and left behind: world at war, in which he plays Cameron ""Buck"" Williams.",turkcorpus,"Cameron has often worked in Christian-Themed productions. Among these are left behind: the movie, left behind II: tribulation force, and left behind: world at war.","Cameron has often worked in Christian-Themed productions, in that some of the movie left behind: tribulation force, world at war",turkcorpus
A2TBXASXZIRNNW,193,fluency,"Isbn 1- 876429- 14- 3 is an historic Township located near Cowra in the central West of New South Wales, Australia in Cabonne Shire.",turkcorpus,Isbn 1-876429-14-3 is an old famous town near Cowra in the central West of New South Wales Australia in Cabonne Shire.,"Isbn 1- 876429- 14- 3 is an historic Township located near Cowra in the central West of New South Wales, Australia in Cabonne Shire.",similar
A2TBXASXZIRNNW,193,meaning,"Isbn 1- 876429- 14- 3 is an historic Township located near Cowra in the central West of New South Wales, Australia in Cabonne Shire.",turkcorpus,Isbn 1-876429-14-3 is an old famous town near Cowra in the central West of New South Wales Australia in Cabonne Shire.,"Isbn 1- 876429- 14- 3 is an historic Township located near Cowra in the central West of New South Wales, Australia in Cabonne Shire.",similar
A2TBXASXZIRNNW,193,simplicity,"Isbn 1- 876429- 14- 3 is an historic Township located near Cowra in the central West of New South Wales, Australia in Cabonne Shire.",turkcorpus,Isbn 1-876429-14-3 is an old famous town near Cowra in the central West of New South Wales Australia in Cabonne Shire.,"Isbn 1- 876429- 14- 3 is an historic Township located near Cowra in the central West of New South Wales, Australia in Cabonne Shire.",similar
A2TBXASXZIRNNW,279,fluency,"These Ideally provide excellent habitat for Chinkara, hog deer and blue Bull.",turkcorpus,"These are the perfect place for Chinkara, hog deer and blue bull to live.","These provide an excellent habitat for Chinkara, hog deer and blue Bull.",similar
A2TBXASXZIRNNW,279,meaning,"These Ideally provide excellent habitat for Chinkara, hog deer and blue Bull.",turkcorpus,"These are the perfect place for Chinkara, hog deer and blue bull to live.","These provide an excellent habitat for Chinkara, hog deer and blue Bull.",similar
A2TBXASXZIRNNW,279,simplicity,"These Ideally provide excellent habitat for Chinkara, hog deer and blue Bull.",turkcorpus,"These are the perfect place for Chinkara, hog deer and blue bull to live.","These provide an excellent habitat for Chinkara, hog deer and blue Bull.",similar
A2TBXASXZIRNNW,326,fluency,It is located on an old Portage trail which led West through the mountains to Unalakleet.,turkcorpus,It is on an old trail leading West through the mountains to Unalakleet.,It is located on an old Portage trail which leads West through the mountains to Unalakleet.,asset
A2TBXASXZIRNNW,326,meaning,It is located on an old Portage trail which led West through the mountains to Unalakleet.,turkcorpus,It is on an old trail leading West through the mountains to Unalakleet.,It is located on an old Portage trail which leads West through the mountains to Unalakleet.,turkcorpus
A2TBXASXZIRNNW,326,simplicity,It is located on an old Portage trail which led West through the mountains to Unalakleet.,turkcorpus,It is on an old trail leading West through the mountains to Unalakleet.,It is located on an old Portage trail which leads West through the mountains to Unalakleet.,asset
A2TBXASXZIRNNW,108,fluency,"He left a detachment of 11,000 troops to garrison the newly conquered region.",turkcorpus,"He left a 11,000 troops to garrison the newly conquered region.","He left the detachment of 11,000 troops to garrison the newly conquered region.",turkcorpus
A2TBXASXZIRNNW,108,meaning,"He left a detachment of 11,000 troops to garrison the newly conquered region.",turkcorpus,"He left a 11,000 troops to garrison the newly conquered region.","He left the detachment of 11,000 troops to garrison the newly conquered region.",turkcorpus
A2TBXASXZIRNNW,108,simplicity,"He left a detachment of 11,000 troops to garrison the newly conquered region.",turkcorpus,"He left a 11,000 troops to garrison the newly conquered region.","He left the detachment of 11,000 troops to garrison the newly conquered region.",asset
A2TBXASXZIRNNW,243,fluency,Representatives of the professional hockey writers' Association vote for the All-Star team at the end of the regular season.,turkcorpus,"At the end of the regular season, the All-Star team is chosen by representatives of the professional hockey writers' Association.",Members of the of the professional hockey writers Association vote for the All-Star team at the end of the regular season.,similar
A2TBXASXZIRNNW,243,meaning,Representatives of the professional hockey writers' Association vote for the All-Star team at the end of the regular season.,turkcorpus,"At the end of the regular season, the All-Star team is chosen by representatives of the professional hockey writers' Association.",Members of the of the professional hockey writers Association vote for the All-Star team at the end of the regular season.,similar
A2TBXASXZIRNNW,243,simplicity,Representatives of the professional hockey writers' Association vote for the All-Star team at the end of the regular season.,turkcorpus,"At the end of the regular season, the All-Star team is chosen by representatives of the professional hockey writers' Association.",Members of the of the professional hockey writers Association vote for the All-Star team at the end of the regular season.,similar
A2TBXASXZIRNNW,41,fluency,Working group I: assesses scientific aspects of the climate system and climate change.,turkcorpus,Working group I: looks at the aspects of climate change and the climate,Working group one: check scientific qualities of the climate system and climate change.,similar
A2TBXASXZIRNNW,41,meaning,Working group I: assesses scientific aspects of the climate system and climate change.,turkcorpus,Working group I: looks at the aspects of climate change and the climate,Working group one: check scientific qualities of the climate system and climate change.,similar
A2TBXASXZIRNNW,41,simplicity,Working group I: assesses scientific aspects of the climate system and climate change.,turkcorpus,Working group I: looks at the aspects of climate change and the climate,Working group one: check scientific qualities of the climate system and climate change.,similar
A2TBXASXZIRNNW,245,fluency,"Nupedia was founded on March 9, 2000, under the ownership of Bomis, Inc, a web portal company.",turkcorpus,The web company Bomis founded Nupedia in 2000.,"Nupedia was started on March 9, 2000, under the ownership of Bomis, Inc, a web portal company.",asset
A2TBXASXZIRNNW,245,meaning,"Nupedia was founded on March 9, 2000, under the ownership of Bomis, Inc, a web portal company.",turkcorpus,The web company Bomis founded Nupedia in 2000.,"Nupedia was started on March 9, 2000, under the ownership of Bomis, Inc, a web portal company.",turkcorpus
A2TBXASXZIRNNW,245,simplicity,"Nupedia was founded on March 9, 2000, under the ownership of Bomis, Inc, a web portal company.",turkcorpus,The web company Bomis founded Nupedia in 2000.,"Nupedia was started on March 9, 2000, under the ownership of Bomis, Inc, a web portal company.",asset
A2TBXASXZIRNNW,215,fluency,"Santa Maria Maggiore( St. Mary the greater), the earliest extant church in Assisi.",turkcorpus,Santa Maria Maggiore is the earliest church in existence in Assisi.,"Santa Maria Maggiore( St. Mary the greater), the earliest extant church in Assisi.",asset
A2TBXASXZIRNNW,215,meaning,"Santa Maria Maggiore( St. Mary the greater), the earliest extant church in Assisi.",turkcorpus,Santa Maria Maggiore is the earliest church in existence in Assisi.,"Santa Maria Maggiore( St. Mary the greater), the earliest extant church in Assisi.",turkcorpus
A2TBXASXZIRNNW,215,simplicity,"Santa Maria Maggiore( St. Mary the greater), the earliest extant church in Assisi.",turkcorpus,Santa Maria Maggiore is the earliest church in existence in Assisi.,"Santa Maria Maggiore( St. Mary the greater), the earliest extant church in Assisi.",asset
A2TBXASXZIRNNW,293,fluency,"In April 1862, Ben was arrested on the orders of police Inspector Sir Frederick Pottinger for participating in an armed robbery whilst in the company of Frank Gardiner.",turkcorpus,"In April 1862, Ben was arrested for participating in an armed robbery while with Frank Gardiner.","In April, 1862, police Inspector, Sir Frederick Pottinger, ordered the arrest of Ben for his part in an armed robbery committed along with Frank Gardiner.",asset
A2TBXASXZIRNNW,293,meaning,"In April 1862, Ben was arrested on the orders of police Inspector Sir Frederick Pottinger for participating in an armed robbery whilst in the company of Frank Gardiner.",turkcorpus,"In April 1862, Ben was arrested for participating in an armed robbery while with Frank Gardiner.","In April, 1862, police Inspector, Sir Frederick Pottinger, ordered the arrest of Ben for his part in an armed robbery committed along with Frank Gardiner.",turkcorpus
A2TBXASXZIRNNW,293,simplicity,"In April 1862, Ben was arrested on the orders of police Inspector Sir Frederick Pottinger for participating in an armed robbery whilst in the company of Frank Gardiner.",turkcorpus,"In April 1862, Ben was arrested for participating in an armed robbery while with Frank Gardiner.","In April, 1862, police Inspector, Sir Frederick Pottinger, ordered the arrest of Ben for his part in an armed robbery committed along with Frank Gardiner.",asset
A2TBXASXZIRNNW,249,fluency,The Quark model was independently proposed by physicists Murray Gell-Mann and George Zweig in 1964.,turkcorpus,The Quark model was proposed by physicists Murray Gell-Mann and George Zweig in 1964.,Physicists Murray Gell-Mann and George Zweig introduced the Quark model separately in 1964.,similar
A2TBXASXZIRNNW,249,meaning,The Quark model was independently proposed by physicists Murray Gell-Mann and George Zweig in 1964.,turkcorpus,The Quark model was proposed by physicists Murray Gell-Mann and George Zweig in 1964.,Physicists Murray Gell-Mann and George Zweig introduced the Quark model separately in 1964.,similar
A2TBXASXZIRNNW,249,simplicity,The Quark model was independently proposed by physicists Murray Gell-Mann and George Zweig in 1964.,turkcorpus,The Quark model was proposed by physicists Murray Gell-Mann and George Zweig in 1964.,Physicists Murray Gell-Mann and George Zweig introduced the Quark model separately in 1964.,similar
A2TBXASXZIRNNW,31,fluency,He also completed two collections of short stories entitled the Ribbajack& other curious yarns and seven strange and ghostly tales.,turkcorpus,He also wrote two collections of short stories called the Ribbajack& other curious yarns and seven strange and ghostly tales.,He also completed two collections of short Storeis. The one title was the Ribbajack& other curious yarns. The other one was titled as seven strange and ghostly tales.,similar
A2TBXASXZIRNNW,31,meaning,He also completed two collections of short stories entitled the Ribbajack& other curious yarns and seven strange and ghostly tales.,turkcorpus,He also wrote two collections of short stories called the Ribbajack& other curious yarns and seven strange and ghostly tales.,He also completed two collections of short Storeis. The one title was the Ribbajack& other curious yarns. The other one was titled as seven strange and ghostly tales.,similar
